"","env","id","y"
"1","DEH1_2023","B14A/OH43",180.8071544
"2","DEH1_2023","B73/MO17",249.1511115
"3","DEH1_2023","B73/TX779",189.8609905
"4","DEH1_2023","BGEM-0063-N/LH244",258.1920707
"5","DEH1_2023","BGEM-0089-N/LH244",206.2947104
"6","DEH1_2023","DK3IIH6/LH244",194.9629615
"7","DEH1_2023","DK78010/LH244",105.230069
"8","DEH1_2023","GEMN-0096/LH244",176.1803777
"9","DEH1_2023","GEMN-0096_LH212HT_0001/LH244",236.6578756
"10","DEH1_2023","GEMN-0096_LH212HT_0006/LH244",226.297248
"11","DEH1_2023","GEMN-0096_LH212HT_0009/LH244",210.6761762
"12","DEH1_2023","GEMN-0096_LH212HT_0017/LH244",229.5575178
"13","DEH1_2023","GEMN-0096_PHJ89_0001/LH244",227.8815195
"14","DEH1_2023","GEMN-0096_PHJ89_0006/LH244",200.9639164
"15","DEH1_2023","GEMN-0096_PHJ89_0007/LH244",213.9288592
"16","DEH1_2023","GEMN-0096_PHJ89_0009/LH244",213.323716
"17","DEH1_2023","GEMN-0096_PHJ89_0010/LH244",183.3284399
"18","DEH1_2023","GEMN-0096_PHK76_0001/LH244",183.5301407
"19","DEH1_2023","GEMN-0096_PHK76_0003/LH244",174.3973486
"20","DEH1_2023","GEMN-0096_PHK76_0004/LH244",200.9144866
"21","DEH1_2023","GEMN-0096_PHK76_0007/LH244",183.99708
"22","DEH1_2023","GEMN-0096_PHK76_0013/LH244",174.5605119
"23","DEH1_2023","GEMN-0096_PHN46_0001/LH244",231.9837775
"24","DEH1_2023","GEMN-0096_PHN46_0003/LH244",188.3900652
"25","DEH1_2023","GEMN-0096_PHN46_0004/LH244",185.3684406
"26","DEH1_2023","GEMN-0096_PHN46_0007/LH244",198.4730576
"27","DEH1_2023","GEMN-0096_PHN46_0020/LH244",164.6402303
"28","DEH1_2023","GEMN-0096_PHP02_0006/LH244",201.5711077
"29","DEH1_2023","GEMN-0096_PHP02_0011/LH244",213.7384504
"30","DEH1_2023","GEMN-0096_PHP02_0016/LH244",211.5969447
"31","DEH1_2023","GEMN-0096_PHP02_0025/LH244",169.8497149
"32","DEH1_2023","GEMN-0097_LH212HT_0019/LH244",238.2728318
"33","DEH1_2023","GEMN-0097_LH212HT_0020/LH244",257.5116477
"34","DEH1_2023","GEMN-0097_LH212HT_0047/LH244",214.8597102
"35","DEH1_2023","GEMN-0097_LH212HT_0058/LH244",243.7750894
"36","DEH1_2023","GEMN-0097_LH212HT_0062/LH244",200.3755499
"37","DEH1_2023","GEMN-0097_LH212HT_0085/LH244",193.786113
"38","DEH1_2023","GEMN-0097_PHJ89_0001/LH244",243.8521285
"39","DEH1_2023","GEMN-0097_PHJ89_0006/LH244",276.9517876
"40","DEH1_2023","GEMN-0097_PHJ89_0007/LH244",229.8944767
"41","DEH1_2023","GEMN-0097_PHJ89_0008/LH244",223.9142742
"42","DEH1_2023","GEMN-0097_PHJ89_0011/LH244",241.165908
"43","DEH1_2023","GEMN-0097_PHJ89_0012/LH244",268.1681166
"44","DEH1_2023","GEMN-0097_PHJ89_0020/LH244",199.395069
"45","DEH1_2023","GEMN-0097_PHJ89_0025/LH244",246.6428406
"46","DEH1_2023","GEMN-0097_PHJ89_0028/LH244",236.8312237
"47","DEH1_2023","GEMN-0097_PHJ89_0036/LH244",206.875674
"48","DEH1_2023","GEMN-0097_PHK76_0007/LH244",188.0709444
"49","DEH1_2023","GEMN-0097_PHK76_0009/LH244",236.0850536
"50","DEH1_2023","GEMN-0097_PHK76_0018/LH244",170.7597413
"51","DEH1_2023","GEMN-0097_PHK76_0041/LH244",223.6341433
"52","DEH1_2023","GEMN-0097_PHK76_0048/LH244",206.790616
"53","DEH1_2023","GEMN-0097_PHN46_0001/LH244",244.1806593
"54","DEH1_2023","GEMN-0097_PHN46_0003/LH244",228.3021429
"55","DEH1_2023","GEMN-0097_PHN46_0005/LH244",267.5367073
"56","DEH1_2023","GEMN-0097_PHN46_0008/LH244",227.0805841
"57","DEH1_2023","GEMN-0097_PHN46_0018/LH244",228.5134607
"58","DEH1_2023","GEMN-0097_PHP02_0006/LH244",231.6695253
"59","DEH1_2023","GEMN-0097_PHP02_0007/LH244",237.3417762
"60","DEH1_2023","GEMN-0098/LH244",223.29878
"61","DEH1_2023","GEMN-0124/LH244",254.4786492
"62","DEH1_2023","GEMN-0144/LH244",230.4569478
"63","DEH1_2023","GEMN-0157/LH244",203.0016284
"64","DEH1_2023","GEMN-0192_LH212HT_0001/LH244",200.9736561
"65","DEH1_2023","GEMN-0192_LH212HT_0018/LH244",236.9695094
"66","DEH1_2023","GEMN-0192_LH212HT_0023/LH244",204.1032501
"67","DEH1_2023","GEMN-0192_PHK76_0002/LH244",212.429032
"68","DEH1_2023","GEMN-0192_PHK76_0004/LH244",217.4528538
"69","DEH1_2023","GEMN-0192_PHK76_0005/LH244",159.7040849
"70","DEH1_2023","GEMN-0192_PHK76_0006/LH244",199.8900771
"71","DEH1_2023","GEMN-0192_PHK76_0009/LH244",180.0934133
"72","DEH1_2023","GEMN-0192_PHK76_0010/LH244",209.2059929
"73","DEH1_2023","GEMN-0192_PHK76_0012/LH244",189.8748774
"74","DEH1_2023","GEMN-0192_PHK76_0013/LH244",159.8897068
"75","DEH1_2023","GEMN-0192_PHK76_0014/LH244",198.0449038
"76","DEH1_2023","GEMN-0192_PHK76_0015/LH244",201.1209836
"77","DEH1_2023","GEMN-0192_PHK76_0021/LH244",233.7339919
"78","DEH1_2023","GEMN-0192_PHN46_0002/LH244",155.9522053
"79","DEH1_2023","GEMN-0192_PHN46_0005/LH244",185.5451026
"80","DEH1_2023","GEMN-0192_PHN46_0006/LH244",158.1945204
"81","DEH1_2023","GEMN-0192_PHN46_0010/LH244",212.0079151
"82","DEH1_2023","GEMN-0192_PHN46_0011/LH244",180.3156294
"83","DEH1_2023","GEMN-0192_PHN46_0014/LH244",200.3933471
"84","DEH1_2023","GEMN-0192_PHN46_0015/LH244",169.527321
"85","DEH1_2023","GEMN-0192_PHP02_0001/LH244",181.0401386
"86","DEH1_2023","GEMN-0225_LH212HT_0024/LH244",194.3590167
"87","DEH1_2023","GEMN-0225_PHJ89_0001/LH244",234.1760561
"88","DEH1_2023","GEMN-0225_PHJ89_0008/LH244",228.5790416
"89","DEH1_2023","GEMN-0225_PHJ89_0015/LH244",171.2343084
"90","DEH1_2023","GEMN-0225_PHJ89_0017/LH244",210.2204291
"91","DEH1_2023","GEMN-0225_PHJ89_0022/LH244",199.6125646
"92","DEH1_2023","GEMN-0225_PHK76_0002/LH244",229.1618079
"93","DEH1_2023","GEMN-0225_PHK76_0004/LH244",232.2789643
"94","DEH1_2023","GEMN-0225_PHK76_0007/LH244",229.2370468
"95","DEH1_2023","GEMN-0225_PHK76_0014/LH244",247.6725373
"96","DEH1_2023","GEMN-0225_PHK76_0019/LH244",225.6035692
"97","DEH1_2023","GEMN-0225_PHK76_0031/LH244",164.3134586
"98","DEH1_2023","GEMN-0225_PHN46_0003/LH244",218.3052338
"99","DEH1_2023","GEMN-0225_PHN46_0005/LH244",213.7944168
"100","DEH1_2023","GEMN-0225_PHP02_0001/LH244",248.6745359
"101","DEH1_2023","GEMN-0225_PHP02_0005/LH244",249.2875395
"102","DEH1_2023","GEMN-0225_PHP02_0008/LH244",195.56468
"103","DEH1_2023","GEMN-0225_PHP02_0010/LH244",238.033532
"104","DEH1_2023","GEMN-0225_PHP02_0013/LH244",234.1760561
"105","DEH1_2023","GEMN-0225_PHP02_0014/LH244",227.4201035
"106","DEH1_2023","GEMN-0238/LH244",214.9710343
"107","DEH1_2023","GEMN-0271/LH244",223.8148149
"108","DEH1_2023","LH244/PHK76",196.3972629
"109","DEH1_2023","LH82/LH244",180.328872
"110","DEH1_2023","MBUB/LH244",205.8232757
"111","DEH1_2023","MM501D/LH244",218.5741126
"112","DEH1_2023","MO17_PHW30-008-(2N)-01/LH244",206.3901194
"113","DEH1_2023","MO44_LH145_0127/LH244",216.3844943
"114","DEH1_2023","MO44_LH145_0138/LH244",170.2545075
"115","DEH1_2023","MO44_PHG47_0072/LH244",155.4996673
"116","DEH1_2023","MO44_PHG47_0125/LH244",166.7348497
"117","DEH1_2023","OH43/LH244",196.268604
"118","DEH1_2023","PH24E/LH244",231.1695398
"119","DEH1_2023","PHB47/PHN82",183.4099227
"120","DEH1_2023","PHK56/LH244",201.9203476
"121","DEH1_2023","PHN11/LH244",180.3808267
"122","DEH1_2023","PHN11_LH145_0005/LH244",173.6650506
"123","DEH1_2023","PHN11_LH145_0028/LH244",159.7999439
"124","DEH1_2023","PHN11_LH145_0085/LH244",168.2918911
"125","DEH1_2023","PHN11_OH43_0075/LH244",183.5223263
"126","DEH1_2023","PHN11_PHG47_0251/LH244",189.0351804
"127","DEH1_2023","PHN11_PHG47_0287/LH244",181.5211929
"128","DEH1_2023","PHN11_PHW65_0323/LH244",207.8680172
"129","DEH1_2023","PHN11_PHW65_0359/LH244",190.1947347
"130","DEH1_2023","PHR03/LH244",215.313173
"131","DEH1_2023","PHRE1/PHTD5",150.6595445
"132","DEH1_2023","PHW30/LH244",199.6997411
"133","DEH1_2023","PHW30_MO17-129-(2N)-01/LH244",210.2200788
"134","DEH1_2023","PHW30_MO17-234-(2N)-02/LH244",217.9416406
"135","DEH1_2023","PHW65_MOG_0176/LH244",157.2341711
"136","DEH1_2023","PHW65_MOG_0271/LH244",186.9449386
"137","DEH1_2023","TX777/LH195",184.553905
"138","DEH1_2023","W10001_0003/LH244",145.8643033
"139","DEH1_2023","W10001_0007/LH244",109.152594
"140","DEH1_2023","W10001_0009/LH244",83.41414741
"141","DEH1_2023","W10001_0017/LH244",200.9106502
"142","DEH1_2023","W10001_0021/LH244",101.5643929
"143","DEH1_2023","W10001_0040/LH244",149.7690746
"144","DEH1_2023","W10005_0029/LH244",212.2599797
"145","DEH1_2023","W10005_0111/LH244",169.6023145
"146","DEH1_2023","W10005_0220/LH244",177.2011963
"147","DEH1_2023","W10010_0124/LH244",254.7336186
"148","DEH1_2023","W10010_0148/LH244",190.0157381
"149","DEH1_2023","W10010_0170/LH244",202.6430674
"150","DEH1_2023","W10010_0189/LH244",149.7044731
"151","DEH1_2023","W10010_0294/LH244",217.4288379
"152","DEH1_2023","W10010_0337/LH244",142.7786908
"153","DEH1_2023","CG119/CG108",55.15412307
"154","DEH1_2023","CG44/CGR01",133.1339158
"155","DEH1_2023","PHJ40/PHAJ0",95.49293157
"156","GAH1_2023","B73/MO17",129.040122
"157","GAH1_2023","B73/PHN82",172.6138534
"158","GAH1_2023","B97/LH244",80.24603303
"159","GAH1_2023","BGEM-0039-N/LH244",102.3008912
"160","GAH1_2023","BGEM-0063-N/LH244",100.0191379
"161","GAH1_2023","BGEM-0089-N/LH244",70.47646775
"162","GAH1_2023","BGEM-0129-N/LH244",57.49200444
"163","GAH1_2023","DK3IIH6/LH244",150.8762421
"164","GAH1_2023","DK78010/LH244",55.6979005
"165","GAH1_2023","GEMN-0096/LH244",78.47670326
"166","GAH1_2023","GEMN-0096_LH212HT_0004/LH244",152.7477214
"167","GAH1_2023","GEMN-0096_LH212HT_0006/LH244",73.77402709
"168","GAH1_2023","GEMN-0096_LH212HT_0017/LH244",128.6968393
"169","GAH1_2023","GEMN-0096_PHJ89_0001/LH244",135.8006323
"170","GAH1_2023","GEMN-0096_PHJ89_0002/LH244",86.52408976
"171","GAH1_2023","GEMN-0096_PHJ89_0010/LH244",150.664581
"172","GAH1_2023","GEMN-0096_PHJ89_0012/LH244",93.35157488
"173","GAH1_2023","GEMN-0096_PHJ89_0013/LH244",103.1220138
"174","GAH1_2023","GEMN-0096_PHK76_0013/LH244",100.4658061
"175","GAH1_2023","GEMN-0096_PHN46_0007/LH244",89.41470289
"176","GAH1_2023","GEMN-0096_PHN46_0012/LH244",170.1845213
"177","GAH1_2023","GEMN-0096_PHN46_0013/LH244",162.7790101
"178","GAH1_2023","GEMN-0096_PHP02_0003/LH244",54.44683049
"179","GAH1_2023","GEMN-0096_PHP02_0005/LH244",125.8857044
"180","GAH1_2023","GEMN-0096_PHP02_0006/LH244",114.6316256
"181","GAH1_2023","GEMN-0096_PHP02_0016/LH244",74.54186787
"182","GAH1_2023","GEMN-0096_PHP02_0025/LH244",126.3514494
"183","GAH1_2023","GEMN-0097_LH212HT_0020/LH244",122.4738647
"184","GAH1_2023","GEMN-0097_LH212HT_0026/LH244",106.6379897
"185","GAH1_2023","GEMN-0097_LH212HT_0047/LH244",111.4802192
"186","GAH1_2023","GEMN-0097_LH212HT_0062/LH244",103.1953112
"187","GAH1_2023","GEMN-0097_PHJ89_0006/LH244",94.18693604
"188","GAH1_2023","GEMN-0097_PHJ89_0026/LH244",132.3000231
"189","GAH1_2023","GEMN-0097_PHJ89_0028/LH244",154.4004432
"190","GAH1_2023","GEMN-0097_PHK76_0007/LH244",128.039897
"191","GAH1_2023","GEMN-0097_PHK76_0009/LH244",102.7668822
"192","GAH1_2023","GEMN-0097_PHK76_0018/LH244",168.8054633
"193","GAH1_2023","GEMN-0097_PHK76_0038/LH244",130.000452
"194","GAH1_2023","GEMN-0097_PHK76_0041/LH244",67.86847166
"195","GAH1_2023","GEMN-0097_PHK76_0048/LH244",82.11845726
"196","GAH1_2023","GEMN-0097_PHK76_0055/LH244",91.14185217
"197","GAH1_2023","GEMN-0097_PHN46_0003/LH244",37.62340064
"198","GAH1_2023","GEMN-0097_PHN46_0008/LH244",88.80877389
"199","GAH1_2023","GEMN-0097_PHN46_0014/LH244",127.7748548
"200","GAH1_2023","GEMN-0097_PHP02_0005/LH244",116.4977923
"201","GAH1_2023","GEMN-0097_PHP02_0006/LH244",132.6541574
"202","GAH1_2023","GEMN-0098/LH244",159.1412293
"203","GAH1_2023","GEMN-0124/LH244",124.4241263
"204","GAH1_2023","GEMN-0187/LH244",187.2343811
"205","GAH1_2023","GEMN-0192_LH212HT_0001/LH244",112.3866891
"206","GAH1_2023","GEMN-0192_LH212HT_0006/LH244",27.32655781
"207","GAH1_2023","GEMN-0192_LH212HT_0011/LH244",121.4303468
"208","GAH1_2023","GEMN-0192_LH212HT_0012/LH244",152.5644729
"209","GAH1_2023","GEMN-0192_LH212HT_0018/LH244",157.4574722
"210","GAH1_2023","GEMN-0192_PHJ89_0001/LH244",115.9488321
"211","GAH1_2023","GEMN-0192_PHK76_0002/LH244",83.16043296
"212","GAH1_2023","GEMN-0192_PHK76_0004/LH244",141.2490466
"213","GAH1_2023","GEMN-0192_PHK76_0006/LH244",129.4556062
"214","GAH1_2023","GEMN-0192_PHK76_0009/LH244",117.1617812
"215","GAH1_2023","GEMN-0192_PHK76_0010/LH244",154.6420024
"216","GAH1_2023","GEMN-0192_PHK76_0014/LH244",67.26317693
"217","GAH1_2023","GEMN-0192_PHK76_0016/LH244",177.968577
"218","GAH1_2023","GEMN-0192_PHK76_0044/LH244",87.85017772
"219","GAH1_2023","GEMN-0192_PHK76_0045/LH244",113.8244426
"220","GAH1_2023","GEMN-0192_PHN46_0002/LH244",123.5788128
"221","GAH1_2023","GEMN-0192_PHN46_0005/LH244",102.4824399
"222","GAH1_2023","GEMN-0192_PHN46_0006/LH244",105.4384151
"223","GAH1_2023","GEMN-0192_PHN46_0008/LH244",128.8442135
"224","GAH1_2023","GEMN-0192_PHN46_0010/LH244",101.7184189
"225","GAH1_2023","GEMN-0192_PHN46_0015/LH244",113.6492597
"226","GAH1_2023","GEMN-0192_PHP02_0001/LH244",132.8663482
"227","GAH1_2023","GEMN-0225/LH244",57.81636123
