id;y
2369/LH123HT;207.3321439
B14A/OH43;180.8071544
B37/H95;176.2306645
B73/MO17;249.1511115
B73/PHN82;172.1152392
B73/TX779;189.8609905
B97/LH244;209.1388957
BGEM-0039-N/LH244;160.9702992
BGEM-0063-N/LH244;258.1920707
BGEM-0089-N/LH244;206.2947104
BGEM-0129-N/LH244;104.213669
CG119/CG108;55.15412307
CG44/CGR01;133.1339158
DK3IIH6/LH244;194.9629615
DK78010/LH244;105.230069
GEMN-0096/LH244;176.1803777
GEMN-0096_LH212HT_0001/LH244;236.6578756
GEMN-0096_LH212HT_0004/LH244;247.3236498
GEMN-0096_LH212HT_0005/LH244;260.1265569
GEMN-0096_LH212HT_0006/LH244;226.297248
GEMN-0096_LH212HT_0009/LH244;210.6761762
GEMN-0096_LH212HT_0017/LH244;229.5575178
GEMN-0096_PHJ89_0001/LH244;227.8815195
GEMN-0096_PHJ89_0002/LH244;212.1072517
GEMN-0096_PHJ89_0006/LH244;200.9639164
GEMN-0096_PHJ89_0007/LH244;213.9288592
GEMN-0096_PHJ89_0009/LH244;213.323716
GEMN-0096_PHJ89_0010/LH244;183.3284399
GEMN-0096_PHJ89_0011/LH244;146.9562695
GEMN-0096_PHJ89_0012/LH244;251.0898309
GEMN-0096_PHJ89_0013/LH244;229.844563
GEMN-0096_PHJ89_0014/LH244;189.1344761
GEMN-0096_PHK76_0001/LH244;183.5301407
GEMN-0096_PHK76_0003/LH244;174.3973486
GEMN-0096_PHK76_0004/LH244;200.9144866
GEMN-0096_PHK76_0007/LH244;183.99708
GEMN-0096_PHK76_0013/LH244;174.5605119
GEMN-0096_PHN46_0001/LH244;231.9837775
GEMN-0096_PHN46_0003/LH244;188.3900652
GEMN-0096_PHN46_0004/LH244;185.3684406
GEMN-0096_PHN46_0007/LH244;198.4730576
GEMN-0096_PHN46_0012/LH244;150.739202
GEMN-0096_PHN46_0013/LH244;213.7890597
GEMN-0096_PHN46_0020/LH244;164.6402303
GEMN-0096_PHP02_0003/LH244;211.9175794
GEMN-0096_PHP02_0005/LH244;177.7761867
GEMN-0096_PHP02_0006/LH244;201.5711077
GEMN-0096_PHP02_0011/LH244;213.7384504
GEMN-0096_PHP02_0012/LH244;210.561152
GEMN-0096_PHP02_0016/LH244;211.5969447
GEMN-0096_PHP02_0025/LH244;169.8497149
GEMN-0097/LH244;229.6853708
GEMN-0097_LH212HT_0019/LH244;238.2728318
GEMN-0097_LH212HT_0020/LH244;257.5116477
GEMN-0097_LH212HT_0026/LH244;216.3090509
GEMN-0097_LH212HT_0047/LH244;214.8597102
GEMN-0097_LH212HT_0054/LH244;192.0483003
GEMN-0097_LH212HT_0058/LH244;243.7750894
GEMN-0097_LH212HT_0062/LH244;200.3755499
GEMN-0097_LH212HT_0085/LH244;193.786113
GEMN-0097_PHJ89_0001/LH244;243.8521285
GEMN-0097_PHJ89_0005/LH244;204.7765951
GEMN-0097_PHJ89_0006/LH244;276.9517876
GEMN-0097_PHJ89_0007/LH244;229.8944767
GEMN-0097_PHJ89_0008/LH244;223.9142742
GEMN-0097_PHJ89_0010/LH244;225.3092007
GEMN-0097_PHJ89_0011/LH244;241.165908
GEMN-0097_PHJ89_0012/LH244;268.1681166
GEMN-0097_PHJ89_0016/LH244;249.3061498
GEMN-0097_PHJ89_0020/LH244;199.395069
GEMN-0097_PHJ89_0025/LH244;246.6428406
GEMN-0097_PHJ89_0026/LH244;246.2902529
GEMN-0097_PHJ89_0027/LH244;240.4881035
GEMN-0097_PHJ89_0028/LH244;236.8312237
GEMN-0097_PHJ89_0029/LH244;214.3169507
GEMN-0097_PHJ89_0036/LH244;206.875674
GEMN-0097_PHK76_0007/LH244;188.0709444
GEMN-0097_PHK76_0009/LH244;236.0850536
GEMN-0097_PHK76_0018/LH244;170.7597413
GEMN-0097_PHK76_0038/LH244;222.0841159
GEMN-0097_PHK76_0041/LH244;223.6341433
GEMN-0097_PHK76_0048/LH244;206.790616
GEMN-0097_PHK76_0055/LH244;172.4650742
GEMN-0097_PHK76_0060/LH244;200.4877741
GEMN-0097_PHN46_0001/LH244;244.1806593
GEMN-0097_PHN46_0003/LH244;228.3021429
GEMN-0097_PHN46_0005/LH244;267.5367073
GEMN-0097_PHN46_0008/LH244;227.0805841
GEMN-0097_PHN46_0011/LH244;152.5167053
GEMN-0097_PHN46_0014/LH244;196.4026587
GEMN-0097_PHN46_0018/LH244;228.5134607
GEMN-0097_PHP02_0005/LH244;211.9921637
GEMN-0097_PHP02_0006/LH244;231.6695253
GEMN-0097_PHP02_0007/LH244;237.3417762
